num_words,num_chars,num_sentences,avg_sentence_length,num_unique_words,vocabulary_richness,avg_word_length,num_punctuations,num_uppercase_words,tb_polarity,tb_subjectivity,kw_employment_positive_count,kw_employment_positive_rate,kw_employment_negative_count,kw_employment_negative_rate,kw_inflation_count,kw_inflation_rate,kw_growth_count,kw_growth_rate,kw_recession_count,kw_recession_rate,kw_monetary_policy_count,kw_monetary_policy_rate,kw_housing_count,kw_housing_rate,kw_financial_conditions_count,kw_financial_conditions_rate,kw_uncertainty_count,kw_uncertainty_rate,kw_confidence_count,kw_confidence_rate,svd_0,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,svd_11,svd_12,svd_13,svd_14,svd_15,svd_16,svd_17,svd_18,svd_19,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,unemp_lag_1,unemp_lag_2,unemp_lag_3,unemp_lag_4,unemp_lag_6,unemp_roll_mean_2,unemp_roll_std_2,unemp_roll_mean_3,unemp_roll_std_3,unemp_roll_mean_4,unemp_roll_std_4,unemp_roll_mean_6,unemp_roll_std_6,unemp_diff_1,unemp_diff_2,unemp_pct_change,month_sin,month_cos,Date,unemployment_rate,unemployment_rate_next,text_preview
10390,66841,449,23.14031180400891,2309,0.22223291626564004,5.43330125120308,740,134,0.04914340978170765,0.32080224739799207,1,0.09624639076034648,5,0.48123195380173245,34,3.2723772858517806,43,4.138594802694899,26,2.502406159769009,87,8.373435996150144,20,1.9249278152069298,13,1.2512030798845044,10,0.9624639076034649,16,1.5399422521655437,0.8042903717665617,-0.020574413721018918,-0.538105758783948,0.05509618769866613,0.003383357579649256,0.054920328459909344,0.1116572573508347,-0.04653949629823724,0.02191944120231325,-0.0940557111176049,0.005758779922780326,-0.0535987302941389,-0.024985577287017578,-0.012620990736831969,0.024133996233778002,0.01595988376827845,0.0015804305779640762,0.05818998530982444,-0.001672775940815625,-0.0002868756470552348,0.0,0.0,0.32504382773761803,0.017563221217669473,0.03055469471504335,0.20904430992461387,0.017527837789088556,0.04974736041963304,,,,,,,,,,,,,,,,,0.8660254037844386,0.5000000000000001,1993-02-03,7.1,7.0,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, February 2, 1993, at 2:30 p.m. and was c"
5791,38477,255,22.70980392156863,1601,0.27646347781039543,5.644448281816612,391,29,0.03744065917978961,0.32004412656586567,1,0.1726817475392851,3,0.5180452426178552,51,8.80676912450354,42,7.252633396649974,22,3.7989984458642723,51,8.80676912450354,20,3.453634950785702,10,1.726817475392851,11,1.8994992229321361,20,3.453634950785702,0.8573684249859095,-0.20554658032270187,-0.14574773963328966,-0.0873941324032661,0.065729610573377,0.28091921282502313,-0.1779452119853532,0.10485621871139711,0.04430077127666237,0.0228615003259581,-0.0893508484968488,-0.027506119374302706,-0.024401720900812912,0.030573628617752275,-0.009299935847201306,0.07649140883348152,-0.04039375456800547,-0.0075644306631727585,0.038231063216544243,-0.04726745186540784,0.006869826611751021,0.022076488534766927,0.07460564886867313,0.26683904625360905,0.0,0.1563294573958614,0.1257946095172814,0.0,7.1,,,,,7.05,0.0707106781186545,,,,,,,-0.09999999999999964,,-0.014084507042253502,1.0,6.123233995736766e-17,1993-03-23,7.0,7.1,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, March 23, 1993, at 9:00 a.m. PRESENT: Mr"
5011,33284,236,21.233050847457626,1445,0.2883655956894831,5.642386749151866,342,28,0.04367047094319822,0.33821494162403254,1,0.19956096587507485,4,0.7982438635002994,59,11.774096986629415,27,5.38814607862702,19,3.7916583516264217,33,6.585511873877469,11,2.195170624625823,7,1.3969267611255238,7,1.3969267611255238,21,4.190780283376571,0.9057829013775349,-0.21104839616827772,-0.05273972190698577,0.0574312808867812,0.08263251732758754,0.08560271937950033,-0.04727076227098631,0.0376846138361741,0.029122432266069895,-0.0785639213003141,-0.07288997736807903,-0.004944503024944205,-0.033258225046366635,-0.07725477898405153,-0.03489804802363448,0.1074797105296869,0.019515780398256712,-0.050011050480081,0.0841400800210255,-0.0441405798404607,0.02813498335567431,0.03653663341983459,0.04340096878589568,0.07936798286905408,0.12936858432592066,0.17251645844753663,0.10290648146599286,0.024412900544794523,7.0,7.1,,,,7.05,0.0707106781186545,7.066666666666666,0.05773502691896237,,,,,0.09999999999999964,0.0,0.014285714285714235,0.49999999999999994,-0.8660254037844387,1993-05-18,7.1,7.0,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, May 18, 1993, at 9:00 a.m. PRESENT: Mr. "
7204,46166,336,21.44047619047619,1659,0.23028872848417545,5.408523042754026,474,69,0.05576142783769903,0.27634694401643556,3,0.416435313714603,2,0.27762354247640203,58,8.051082731815658,49,6.801776790671849,17,2.359800111049417,49,6.801776790671849,18,2.498611882287618,9,1.249305941143809,6,0.832870627429206,16,2.2209883398112162,0.8201457199182784,-0.30756084593594774,-0.13112413788596994,0.23594088924820006,-0.022698948903190862,0.1765440945762531,0.07880989360413582,-0.00659314901097843,0.008949928571306706,-0.21627330586168617,0.018456961930008012,-0.035382666394808804,0.011963556732161157,-0.0027232253441331266,-0.0023169180964597276,0.02610559594468759,-0.014034153045045803,0.12491876580204414,0.009314395094474348,-0.006136607887830607,0.0,0.003098757161433695,0.035964240928314566,0.01344599671498677,0.09457414984995703,0.32302435179271966,0.04584960449858514,0.0047112945039594544,7.1,7.0,7.1,,,7.0,0.141421356237309,7.0,0.09999999999999964,7.025,0.09574271077563361,,,-0.1999999999999993,-0.09999999999999964,-0.028169014084506894,-0.4999999999999997,-0.8660254037844388,1993-07-07,6.9,6.8,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, July 6, 1993, at 2:30 p.m. and continued"
4707,30937,224,21.013392857142858,1374,0.29190567240280435,5.572763968557467,349,33,0.04205982819264069,0.33304416937229436,2,0.42489908646696406,3,0.6373486297004461,37,7.860633099638836,29,6.16103675377098,15,3.1867431485022304,33,7.0108349267049075,13,2.7618440620352667,4,0.8497981729339281,3,0.6373486297004461,14,2.9742936052687488,0.8502762834846317,-0.20762022502036903,-0.09068108879639743,0.2687692251497097,0.23530741461216717,-0.0453289094293077,-0.029449877700027154,-0.09368690977711783,0.0856632405266701,-0.0030498695692255853,-0.029954500106679525,-0.07522217002943864,-0.013386448586889975,0.07036748182334589,0.06781732290195636,0.05584212209599842,-0.003185427614365911,-0.01320619483673885,0.02791200626047835,-0.0019049781398454279,0.0,0.022593614131199376,0.0482639575573801,0.0,0.3490031122847363,0.18215543777749735,0.022273336165296722,0.0,6.9,7.1,7.0,7.1,,6.85,0.07071067811865482,6.933333333333334,0.1527525231651946,6.949999999999999,0.12909944487358113,,,-0.10000000000000053,-0.2999999999999998,-0.01449275362318847,-0.8660254037844385,-0.5000000000000004,1993-08-17,6.8,6.7,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, August 17, 1993, at 9:00 a.m. PRESENT: M"
5007,33042,239,20.94979079497908,1454,0.2903934491711604,5.599360894747353,368,41,0.037819290210594554,0.3348891607587259,1,0.19972039145196724,3,0.5991611743559018,33,6.5907729179149195,37,7.389654483722788,23,4.593569003395246,32,6.391052526462952,16,3.195526263231476,9,1.797483523067705,6,1.1983223487118035,13,2.596365088875574,0.8655848659581465,-0.2216143235440265,-0.13018806051736828,0.24961318555548306,0.19554058614960965,-0.08948317858135127,-0.07980212899396862,-0.06792223599602285,0.03243056423060996,0.038820474222721335,-0.07673899055444772,-0.0832599157225114,-0.0083903709735406,0.05296970543322155,0.04548296439106941,0.04410707589946109,0.01524001968825522,-0.0008014456500507155,0.027230070564883038,-0.029776974517656738,0.0,0.0064548094627823,0.07094156059991025,0.0,0.33379576460306676,0.15884708043474308,0.09252291163253624,0.0,6.8,6.9,7.1,7.0,,6.75,0.07071067811865324,6.8,0.10000000000000095,6.875,0.17078251276599418,6.933333333333334,0.16329931618554533,-0.09999999999999964,-0.20000000000000018,-0.014705882352941124,-1.0,-1.8369701987210297e-16,1993-09-21,6.7,6.8,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, September 21, 1993, at 9:00 a.m. PRESENT"
6019,39529,271,22.210332103321033,1613,0.26798471506894833,5.567536135570693,381,48,0.055473912052859425,0.3312162983215614,1,0.1661405549094534,3,0.49842166472836025,42,6.977903306197043,47,7.80860608074431,9,1.4952649941850806,38,6.313341086559229,9,1.4952649941850806,5,0.830702774547267,7,1.162983884366174,13,2.1598272138228944,0.8807308887322685,-0.2682059336820609,-0.12951140350477738,0.12637795186292608,-0.03738322161903631,-0.04096937834220027,0.05262576297735095,0.1078629721849908,0.11084351578866988,-0.09109157185751761,-0.043134601538033855,-0.042367445720010416,0.01596132219182917,0.007094095939324234,-0.07516384515839108,0.023381410573309516,0.037538458193783125,0.046615152202026784,-0.00854782615172782,-0.041020962347615285,0.0,0.0,0.07275708851905634,0.0,0.08555094054693473,0.19807703617236658,0.16934637576064437,0.16801149431668896,6.7,6.8,6.9,7.1,7.1,6.65,0.07071067811865418,6.7,0.10000000000000173,6.75,0.1290994448735835,6.849999999999999,0.18708286933869755,-0.10000000000000053,-0.20000000000000018,-0.014925373134328401,-0.5000000000000004,0.8660254037844384,1993-11-16,6.6,6.5,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, November 16, 1993, at 9:00 a.m. PRESENT:"
5865,38171,259,22.644787644787645,1542,0.2629156010230179,5.50843989769821,374,36,0.07305465367965369,0.34016233766233755,0,0.0,3,0.5115089514066495,43,7.331628303495311,45,7.672634271099745,14,2.3870417732310316,45,7.672634271099745,16,2.7280477408354646,9,1.5345268542199488,11,1.8755328218243819,15,2.557544757033248,0.8505874362247701,-0.2437324877366069,-0.12334040465738517,0.09320520173456952,-0.08281692549462247,-0.04843112898712734,0.17044608294550656,0.28823606801817847,0.054103063204799066,0.01045209794443942,-0.11953975493934713,-0.03467913183387325,0.00255497374009144,0.0338798150576461,-0.005901249017283366,0.04408880951440821,0.047242852275940536,-0.0340454676337841,0.05969710602339664,-0.008350349010942282,0.0,0.009787769209995197,0.06367621508949732,0.0,0.0,0.2061942478931405,0.10912913336330365,0.3485379798776434,6.6,6.7,6.8,6.9,7.0,6.55,0.07071067811865514,6.599999999999999,0.10000000000000228,6.65,0.12909944487358405,6.766666666666666,0.21602468994692917,-0.09999999999999964,-0.20000000000000018,-0.015151515151515138,-2.4492935982947064e-16,1.0,1993-12-21,6.5,6.6,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, December 21, 1993, at 9:00 a.m. PRESENT:"
10355,66901,479,21.61795407098121,2272,0.21941091260260745,5.460840173829068,717,131,0.026594065656565653,0.2924084595959596,2,0.19314340898116852,6,0.5794302269435055,43,4.152583293095123,50,4.8285852245292125,7,0.6760019314340897,83,8.015451472718492,19,1.834862385321101,14,1.3520038628681794,13,1.2554321583775954,14,1.3520038628681794,0.8251461924550748,-0.034600215351044454,-0.5216981281497453,0.00809903911406571,0.005336022175764398,0.06841219760427371,0.08143070910889132,-0.05584374151511845,0.053097535667056626,-0.05689809847852486,0.011188216129119464,-0.0694998066900563,-0.0030650651737624164,-1.950416122077029e-06,-0.005795140794551023,0.013481452324364204,-0.005902964878636761,-0.01616360611883727,-0.0061532457476224725,-0.030386224692275712,0.0,0.0,0.3189254308568402,0.04841473702109889,0.02771447602862578,0.19011603806050778,0.04872522780985926,0.03729048698484835,6.5,6.6,6.7,6.8,7.1,6.55,0.07071067811865514,6.566666666666666,0.05773502691896662,6.6,0.08164965809277856,6.683333333333334,0.14719601443879846,0.09999999999999964,0.0,0.01538461538461533,0.8660254037844386,0.5000000000000001,1994-02-04,6.6,6.5,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Thursday, February 3, 1994, at 2:30 p.m. and was "
6431,42162,294,21.874149659863946,1697,0.2638780904991448,5.556212097651998,426,35,0.0554491637688359,0.3598017055803941,2,0.3109936246306951,4,0.6219872492613902,34,5.286891618721816,37,5.753382055667859,19,2.9544394339916034,54,8.396827865028767,12,1.8659617477841706,17,2.643445809360908,20,3.1099362463069506,16,2.4879489970455606,0.8596797221484713,-0.18333530099536244,-0.17036269692412495,-0.06851640855635195,0.004481781278440728,0.24827965634435506,-0.15217620558183834,0.06402582346156695,0.035146455935717476,0.03395745445779868,-0.12390932452982922,-0.007092399917940404,0.04649480606918196,0.037279855836448085,-0.12223416937278243,0.08999099447125178,-0.0063978783914509195,-0.0738596734673357,0.044974829223612046,-0.05421519982916262,0.004819990693760477,0.023396284283630008,0.09531738452899231,0.2213316039284424,0.0,0.15537595154105116,0.1473839290652596,0.0,6.6,6.5,6.6,6.7,6.9,6.55,0.07071067811865514,6.533333333333334,0.05773502691896726,6.549999999999999,0.05773502691897152,6.616666666666666,0.11690451944500259,-0.09999999999999964,0.0,-0.015151515151515138,1.0,6.123233995736766e-17,1994-03-22,6.5,6.4,"A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, March 22, 1994, at 9:00 a.m. PRESENT: Mr"
